id,first_name,last_name,password,checking,savings,active
10001,William,Hartnell,4fg56,100.0,0.0,True
10002,Patrick,Troughton,serf,0.0,200.0,True
10003,Jon ,Pertwee,233!,-65.0,250.0,False
10004,Tom ,Baker,ee,0.0,0.0,True
10005,Peter ,Davison,werf345,58.0,0.0,False
10006,Suresh ,Sigera,wergt,63.0,0.0,False
10007,James ,Taylor,#@FG,-10.0,0.0,False
10008,Melvin ,Gordon,GD4dS,-35.0,2567.0,True
10009,Stacey ,Abrams,!fiuenrg,0.0,3452345.0,True
100010,Jake ,Paul,wegtr,10000.0,-10.0,True
100011,rtg,drg,2435365,5000.0,0.0,True
100012,Devlin,Booth,123456,0.0,85.0,True
100013,ghada,idris,5555,-240.0,0.0,True
100014,worod,almalki,2222,4740.0,10.0,True
